Vorgangsnummer,Kategorie,Ort,Zustand,Erstellungsdatum,Letztes Bearbeitungsdatum,Eingangskanal
eze2zm,Straßenbeleuchtung,"Rosenweg 1, 76199 Karlsruhe",Behoben,2013-12-31T18:46:00+01:00,2013-12-31T18:46:00+01:00,MOBILE
efmkdw,Straßenbeleuchtung,"Bahnhofplatz, 76137 Karlsruhe",Behoben,2013-12-31T17:09:00+01:00,2013-12-31T17:09:00+01:00,MOBILE
ao7yg9,Verunreinigungen,"Lange Straße 2, 76199 Karlsruhe",Behoben,2013-12-31T17:08:00+01:00,2013-12-31T17:08:00+01:00,MOBILE
ulyxpi,Verunreinigungen,"Ludwig-Wilhelm-Straße 4, 76131 Karlsruhe",Behoben,2013-12-31T16:42:00+01:00,2013-12-31T16:42:00+01:00,MOBILE
iw1mi9,Verunreinigungen,"Adalbert-Stifter-Straße 1, 76199 Karlsruhe",Behoben,2013-12-31T13:51:00+01:00,2013-12-31T13:51:00+01:00,MOBILE
qx9p9n,Verunreinigungen,"Kraichgaustraße 6, 76199 Karlsruhe",Eingetroffen,2013-12-31T13:51:00+01:00,2013-12-31T13:51:00+01:00,MOBILE
3gwghv,KA-Feedback Nutzerumfrage,"Stutenpferchstraße 6, 76228 Karlsruhe",Eingetroffen,2013-12-31T12:47:00+01:00,2013-12-31T12:47:00+01:00,MOBILE
iukt02,Straßenbeleuchtung,"Henriette-Obermüller-Straße 13, 76137 Karlsruhe",Behoben,2013-12-31T08:28:00+01:00,2013-12-31T08:28:00+01:00,MOBILE
lsjg2j,Straßenbeleuchtung,"Schwarzwaldstraße 78, 76137 Karlsruhe",Abgeschlossen,2013-12-30T18:22:00+01:00,2013-12-30T18:22:00+01:00,MOBILE
bnjpbr,Verunreinigungen,"Rolandplatz 12, 76135 Karlsruhe",Behoben,2013-12-30T16:26:00+01:00,2013-12-30T16:26:00+01:00,MOBILE
ccya2w,Verunreinigungen,"Hermann-Schneider-Allee 20, 76189 Karlsruhe",Behoben,2013-12-30T15:11:00+01:00,2013-12-31T07:47:00+01:00,MOBILE
lauwtl,Verkehrsverstöße,"Pfinzstraße 92, 76227 Karlsruhe",Behoben,2013-12-30T15:06:00+01:00,2013-12-30T15:06:00+01:00,MOBILE
27axv2,Verunreinigungen,"New-York-Straße 21, 76149 Karlsruhe",Behoben,2013-12-30T14:25:00+01:00,2013-12-30T14:25:00+01:00,MOBILE
ynvtkp,Straßenbeleuchtung,"Rosenweg 1, 76199 Karlsruhe",Abgeschlossen,2013-12-30T08:53:00+01:00,2015-07-14T07:51:00+02:00,MOBILE
