Vorgangsnummer,Kategorie,Ort,Zustand,Erstellungsdatum,Letztes Bearbeitungsdatum,Eingangskanal
odqqj2,Verkehrsverstöße,"Rebgärtenstraße 21, 76228 Karlsruhe",Abgeschlossen,2018-01-01T01:51:00+01:00,2018-01-10T11:18:00+01:00,MOBILE
fwoutv,Gefahrenstellen,"Kaiserslauterner Straße 13A, 76187 Karlsruhe",Eingetroffen,2018-01-01T08:58:00+01:00,2018-01-02T08:15:00+01:00,MOBILE
2rxg2q,Verunreinigungen,"Friedrich-Naumann-Straße 38, 76187 Karlsruhe",Abgeschlossen,2018-01-01T09:01:00+01:00,2018-01-09T06:58:00+01:00,MOBILE
jiqkjo,Straßenbeleuchtung,"Schützenstraße 50, 76137 Karlsruhe",Behoben,2018-01-01T09:35:00+01:00,2018-01-10T05:51:00+01:00,MOBILE
l8alut,Gefahrenstellen,"Bodelschwinghstraße 2, 76185 Karlsruhe, Deutschland",Abgeschlossen,2018-01-01T12:37:00+01:00,2018-01-03T07:30:00+01:00,MOBILE
bgjkgn,Verunreinigungen,,Abgeschlossen,2018-01-01T12:58:00+01:00,2018-01-10T08:00:00+01:00,MOBILE
tiuxek,Verunreinigungen,"Am Mühlburger Bahnhof 14, 76189 Karlsruhe, Deutschland",Abgeschlossen,2018-01-01T13:39:00+01:00,2018-01-03T07:30:00+01:00,MOBILE
7bslha,Verunreinigungen,,Abgeschlossen,2018-01-01T14:22:00+01:00,2018-01-03T06:50:00+01:00,MOBILE
rkvjbl,Gefahrenstellen,"Rhode-Island-Allee 23, 76149 Karlsruhe, Deutschland",Eingetroffen,2018-01-01T15:22:00+01:00,2018-01-02T07:03:00+01:00,MOBILE
cxx5ra,KA-Feedback Nutzerumfrage,"Wettersteinstraße 48, 76228 Karlsruhe, Deutschland",Eingetroffen,2018-01-01T21:05:00+01:00,2018-01-01T21:05:00+01:00,MOBILE
63skcc,Straßenbeleuchtung,,Behoben,2018-01-01T21:14:00+01:00,2018-01-09T08:19:00+01:00,WEB
puxoiu,Verunreinigungen,"Kriegsstraße 138, 76133 Karlsruhe",Abgeschlossen,2018-01-02T06:30:00+01:00,2018-01-02T12:32:00+01:00,MOBILE
hajo2o,Verunreinigungen,"Willi-Egler-Straße, 76189 Karlsruhe, Deutschland",Abgeschlossen,2018-01-02T07:01:00+01:00,2018-01-03T07:31:00+01:00,CALL_115
t4dh6i,115 Abfallsammlung,"Eggensteiner Str. 14, 76187 Karlsruhe, Deutschland",Abgeschlossen,2018-01-02T07:10:00+01:00,2018-02-01T12:51:00+01:00,CALL_115
b7orpa,Verkehrsverstöße,"Degenfeldstraße 6-8, 76131 Karlsruhe, Deutschland",Abgeschlossen,2018-01-02T07:25:00+01:00,2018-01-10T11:19:00+01:00,MOBILE
dlgmtr,Verkehrsverstöße,"Scheffelstraße 52, 76135 Karlsruhe, Deutschland",Behoben,2018-01-02T07:28:00+01:00,2018-02-15T12:31:00+01:00,MOBILE
b8qtay,OA 6 Aufenthalt Nicht-EU,-,Abgeschlossen,2018-01-02T07:31:00+01:00,2018-01-02T14:29:00+01:00,CALL_115
kvsjif,115 Abfallsammlung,"Stephanienstraße 9, 76133 Karlsruhe, Deutschland",Abgeschlossen,2018-01-02T07:57:00+01:00,2018-04-03T09:28:00+01:00,CALL_115
wupnqi,115 Abfallsammlung,"Im Husarenlager 12, 76187 Karlsruhe, Deutschland",Abgeschlossen,2018-01-02T08:01:00+01:00,2018-01-03T11:08:00+01:00,CALL_115
fkya24,115 Straßenreinigung,"Horfstraße, 76228 Karlsruhe, Deutschland",Abgeschlossen,2018-01-02T08:05:00+01:00,2018-01-02T13:49:00+01:00,CALL_115
tbawvf,115 Abfallsammlung,"Brauerstraße 48, 76135 Karlsruhe, Deutschland",Abgeschlossen,2018-01-02T08:06:00+01:00,2018-01-03T11:01:00+01:00,CALL_115
rsfxxy,OA 6 Aufenthalt Nicht-EU,-,Abgeschlossen,2018-01-02T08:28:00+01:00,2018-01-30T12:49:00+01:00,CALL_115
4poxrm,Verkehrsverstöße,"Salmenstraße 33, 76189 Karlsruhe, Deutschland",Abgeschlossen,2018-01-02T08:28:00+01:00,2018-01-11T07:28:00+01:00,CALL_115
guzlmn,115 Abfallsammlung,"Kaiserstraße 179, 76133 Karlsruhe, Deutschland",Abgeschlossen,2018-01-02T08:48:00+01:00,2018-02-02T08:29:00+01:00,CALL_115
knrxgr,115 Abfallsammlung,"Arndtstraße 4, 76199 Karlsruhe, Deutschland",Abgeschlossen,2018-01-02T08:51:00+01:00,2018-01-04T10:21:00+01:00,CALL_115
oqqyuf,115 Straßenreinigung,"Seewiesenäckerweg 44, 76199 Karlsruhe, Deutschland",Abgeschlossen,2018-01-02T09:02:00+01:00,2018-01-03T07:30:00+01:00,CALL_115
36m4us,115 Abfallsammlung,"Neureuter Hauptstraße 62, 76149 Karlsruhe, Deutschland",Abgeschlossen,2018-01-02T09:07:00+01:00,2018-01-03T10:59:00+01:00,CALL_115
xmp5gy,OA 6 Notfalltermin (abgelaufener oder verlorener eAT),-,Abgeschlossen,2018-01-02T09:18:00+01:00,2018-01-10T14:41:00+01:00,CALL_115
kgoa5m,OA 6 Aufenthalt Nicht-EU,-,Abgeschlossen,2018-01-02T09:25:00+01:00,2018-01-02T15:14:00+01:00,CALL_115
ujcaxn,OA 6 Aufenthalt Nicht-EU,-,Abgeschlossen,2018-01-02T09:43:00+01:00,2018-02-02T13:26:00+01:00,CALL_115
calt0a,Verunreinigungen,"Kaiserallee 1, 76133 Karlsruhe, Deutschland",Abgeschlossen,2018-01-02T10:04:00+01:00,2018-01-15T06:51:00+01:00,CALL_115
43xtvx,115 Abfallsammlung,"Daxlander Str. 70, 76185 Karlsruhe, Deutschland",Abgeschlossen,2018-01-02T10:25:00+01:00,2018-01-02T13:03:00+01:00,CALL_115
zadcwk,Beschilderung und Verkehrsführung,"Auf dem Guggelensberg 30, 76227 Karlsruhe, Deutschland",In Arbeit,2018-01-02T10:28:00+01:00,2018-01-03T10:17:00+01:00,CALL_115
3bqxgn,115 Abfallsammlung,"Neureuter Hauptstraße 147, 76149 Karlsruhe, Deutschland",Abgeschlossen,2018-01-02T10:31:00+01:00,2018-01-03T10:58:00+01:00,CALL_115
qon6ol,Verunreinigungen,"Kolberger Str. 16, 76139 Karlsruhe, Deutschland",Abgeschlossen,2018-01-02T10:32:00+01:00,2018-01-15T06:51:00+01:00,MOBILE
