Vorgangsnummer,Kategorie,Ort,Zustand,Erstellungsdatum,Letztes Bearbeitungsdatum,Eingangskanal
aqlzho,OA 6 Aufenthalt Nicht-EU,-,Abgeschlossen,2018-01-02T10:37:00+01:00,2018-01-02T13:29:00+01:00,CALL_115
kyguws,115 Straßenreinigung,"Wildbader Str. 1, 76228 Karlsruhe, Deutschland",Abgeschlossen,2018-01-02T10:53:00+01:00,2018-01-11T13:21:00+01:00,CALL_115
s3wzmc,OA 6 Aufenthalt Nicht-EU,-,Abgeschlossen,2018-01-02T11:26:00+01:00,2018-02-02T13:44:00+01:00,CALL_115
ki7psd,Beschilderung und Verkehrsführung,"Ettlinger Straße 7, 76137 Karlsruhe",Abgeschlossen,2018-01-02T11:27:00+01:00,2018-01-12T11:11:00+01:00,MOBILE
adkpxv,115 Straßenreinigung,"Fridtjof-Nansen-Straße 1, 76228 Karlsruhe, Deutschland",Abgeschlossen,2018-01-02T11:31:00+01:00,2018-01-16T06:32:00+01:00,CALL_115
4ytglb,115 Straßenreinigung,"Am Anger, 76189 Karlsruhe, Deutschland",Abgeschlossen,2018-01-02T11:35:00+01:00,2018-01-11T13:21:00+01:00,CALL_115
ydddub,Gefahrenstellen,"L605 L605, null Karlsruhe",Eingetroffen,2018-01-02T11:36:00+01:00,2018-01-02T11:42:00+01:00,MOBILE
sxxkeq,Verunreinigungen,"Friedrich-Weick-Straße 5, 76189 Karlsruhe",Abgeschlossen,2018-01-02T11:45:00+01:00,2018-01-03T11:58:00+01:00,MOBILE
0q4bp2,115 Abfallsammlung,"Binger Str. 77, 76185 Karlsruhe, Deutschland",Abgeschlossen,2018-01-02T11:46:00+01:00,2018-01-03T10:56:00+01:00,CALL_115
r314gr,Verunreinigungen,"Sophienstraße 223, 76185 Karlsruhe, Deutschland",Abgeschlossen,2018-01-02T11:52:00+01:00,2018-01-03T09:00:00+01:00,CALL_115
qy2jwa,Verunreinigungen,"Battertstraße 21e, 76189 Karlsruhe, Deutschland",Abgeschlossen,2018-01-02T12:13:00+01:00,2018-01-03T11:57:00+01:00,CALL_115
n6ehj2,115 Straßenreinigung,"Gebhardstraße, Karlsruhe, Deutschland",Abgeschlossen,2018-01-02T12:19:00+01:00,2018-02-16T06:44:00+01:00,CALL_115
ztkle8,115 Abfallsammlung,"Durlacher Allee 4, 76131 Karlsruhe, Deutschland",Abgeschlossen,2018-01-02T12:19:00+01:00,2018-01-03T10:53:00+01:00,CALL_115
wokqhs,115 Abfallsammlung,"Rolandstraße 58, 76135 Karlsruhe, Deutschland",Behoben,2018-01-02T12:36:00+01:00,2018-01-08T07:08:00+01:00,CALL_115
wqlodb,Verunreinigungen,"Kurt-Schumacher-Straße 53, 76187 Karlsruhe, Deutschland",Abgeschlossen,2018-01-02T12:45:00+01:00,2018-01-03T08:58:00+01:00,MOBILE
vkb8rn,OA 6 Aufenthalt Nicht-EU,-,Abgeschlossen,2018-01-02T12:49:00+01:00,2018-01-03T06:30:00+01:00,CALL_115
oyrsch,OA 6 Aufenthalt Nicht-EU,-,Abgeschlossen,2018-01-02T12:58:00+01:00,2018-02-02T13:37:00+01:00,CALL_115
skjbl7,Verunreinigungen,"Karlstraße 51A, 76133 Karlsruhe, Deutschland",Abgeschlossen,2018-01-02T13:00:00+01:00,2018-01-03T13:15:00+01:00,MOBILE
bhcezl,115 Straßenreinigung,"Am Anger 27A, 76189 Karlsruhe, Deutschland",Abgeschlossen,2018-01-02T13:07:00+01:00,2018-01-03T13:17:00+01:00,CALL_115
ezsh7y,Straßenbeleuchtung,"Wichernstraße 29, 76185 Karlsruhe, Deutschland",Behoben,2018-01-02T13:25:00+01:00,2018-01-09T08:19:00+01:00,CALL_115
psleow,115 Straßenreinigung,"Bachstraße 53, 76185 Karlsruhe, Deutschland",Abgeschlossen,2018-01-02T13:29:00+01:00,2018-01-03T08:57:00+01:00,CALL_115
sidquv,115 Straßenreinigung,"Karlstraße, Ecke Gartenstr, Karlsruhe, Deutschland",Abgeschlossen,2018-01-02T13:57:00+01:00,2018-01-25T12:47:00+01:00,CALL_115
es6cb7,Verunreinigungen,"Mathystraße, 76133 Karlsruhe, Deutschland",Abgeschlossen,2018-01-02T14:05:00+01:00,2018-01-03T13:16:00+01:00,MOBILE
elnehm,115 Abfallsammlung,"Kriegsstraße 82, 76133 Karlsruhe, Deutschland",Abgeschlossen,2018-01-02T14:20:00+01:00,2018-01-03T10:52:00+01:00,CALL_115
zlbuyi,115 Straßenreinigung,"Gebhardstraße 33A, 76135 Karlsruhe, Deutschland",Abgeschlossen,2018-01-02T14:27:00+01:00,2018-01-03T09:31:00+01:00,CALL_115
adksxt,115 Abfallsammlung,"Rosmarinweg 16, 76149 Karlsruhe, Deutschland",Abgeschlossen,2018-01-02T15:02:00+01:00,2018-01-03T10:51:00+01:00,CALL_115
lqqf5c,Verunreinigungen,"Wilhelm-Trübner-Weg 27, 76187 Karlsruhe, Deutschland",Abgeschlossen,2018-01-02T15:19:00+01:00,2018-01-03T08:57:00+01:00,MOBILE
rtek3a,Verunreinigungen,"Wilhelm-Trübner-Weg 27, 76187 Karlsruhe, Deutschland",Abgeschlossen,2018-01-02T15:19:00+01:00,2018-01-03T08:57:00+01:00,MOBILE
yvmawk,Straßenbeleuchtung,"Schützenstraße 15, 76137 Karlsruhe, Deutschland",Behoben,2018-01-02T16:36:00+01:00,2018-01-10T05:53:00+01:00,CALL_115
ttj2hs,Beschilderung und Verkehrsführung,"Fritz-Erler-Straße 14, 76133 Karlsruhe, Deutschland",In Arbeit,2018-01-02T17:33:00+01:00,2018-01-03T10:16:00+01:00,MOBILE
yybjxd,Beschilderung und Verkehrsführung,"Fritz-Erler-Straße 14, 76133 Karlsruhe, Deutschland",Abgeschlossen,2018-01-02T17:33:00+01:00,2018-02-15T12:33:00+01:00,MOBILE
auhuss,Verunreinigungen,"Kaiserallee 1, 76133 Karlsruhe, Deutschland",Abgeschlossen,2018-01-02T17:37:00+01:00,2018-01-03T08:56:00+01:00,MOBILE
hepzvz,115 Abfallsammlung,"Keßlaustraße 35, 76187 Karlsruhe, Deutschland",Abgeschlossen,2018-01-03T06:54:00+01:00,2018-01-03T11:24:00+01:00,CALL_115
v4mjez,115 Abfallsammlung,"Waldeckstraße 6, 76139 Karlsruhe, Deutschland",Abgeschlossen,2018-01-03T07:06:00+01:00,2018-01-03T11:26:00+01:00,CALL_115
culpox,115 Abfallsammlung,"Bahnhofstraße 15, 76137 Karlsruhe, Deutschland",Abgeschlossen,2018-01-03T07:10:00+01:00,2018-01-04T10:35:00+01:00,CALL_115
oylxad,115 Abfallsammlung,"Kriegsstraße 90, 76133 Karlsruhe, Deutschland",Abgeschlossen,2018-01-03T07:24:00+01:00,2018-02-05T10:39:00+01:00,CALL_115
aljycy,Gefahrenstellen,"Maxau am Rhein, 76187 Karlsruhe, Deutschland",Eingetroffen,2018-01-03T07:28:00+01:00,2018-01-03T07:42:00+01:00,CALL_115
xnt1om,OA 6 Aufenthalt Nicht-EU,-,Abgeschlossen,2018-01-03T07:35:00+01:00,2018-01-03T09:34:00+01:00,CALL_115
fjeju1,Gefahrenstellen,"Hofäckerstraße 46, 76139 Karlsruhe, Deutschland",Eingetroffen,2018-01-03T07:48:00+01:00,2018-01-03T07:54:00+01:00,CALL_115
uvq5yy,115 Abfallsammlung,"Gustav-Meerwein-Straße 27, 76228 Karlsruhe, Deutschland",Abgeschlossen,2018-01-03T07:51:00+01:00,2018-01-17T11:40:00+01:00,CALL_115
aphrht,OA 6 Notfalltermin (abgelaufener oder verlorener eAT),-,Abgeschlossen,2018-01-03T07:56:00+01:00,2018-01-03T16:46:00+01:00,CALL_115
bcjq74,OA 6 Aufenthalt Nicht-EU,-,Abgeschlossen,2018-01-03T08:00:00+01:00,2018-02-02T13:34:00+01:00,CALL_115
dkv7k7,115 Abfallsammlung,"Enzianstraße 11, 76228 Karlsruhe, Deutschland",Abgeschlossen,2018-01-03T08:15:00+01:00,2018-01-17T11:21:00+01:00,CALL_115
ptu4dt,OA 6 Notfalltermin (abgelaufener oder verlorener eAT),-,Abgeschlossen,2018-01-03T08:30:00+01:00,2018-01-10T14:37:00+01:00,CALL_115
qazqqw,115 Abfallsammlung,"Neureuter Hauptstraße,62 76149 Karlsruhe, Deutschland",Abgeschlossen,2018-01-03T08:34:00+01:00,2018-01-04T10:36:00+01:00,CALL_115
5pgcjt,115 Abfallsammlung,"Hegaustraße 20, 76199 Karlsruhe, Deutschland",Abgeschlossen,2018-01-03T08:59:00+01:00,2018-01-04T08:00:00+01:00,CALL_115
vlsvfx,Gefahrenstellen,"Herdweg, 76227 Karlsruhe, Deutschland",Eingetroffen,2018-01-03T09:07:00+01:00,2018-01-04T07:11:00+01:00,CALL_115
umpuxl,OA 6 Aufenthalt Nicht-EU,-,Abgeschlossen,2018-01-03T09:09:00+01:00,2018-01-11T09:49:00+01:00,CALL_115
zytz7b,Gefahrenstellen,"Eggensteiner Allee 3, 76149 Karlsruhe, Deutschland",Eingetroffen,2018-01-03T09:12:00+01:00,2018-01-03T19:33:00+01:00,WEB
zvbej0,115 Abfallsammlung,"Hardtstraße 8, 76185 Karlsruhe, Deutschland",Abgeschlossen,2018-01-03T09:12:00+01:00,2018-01-17T11:21:00+01:00,CALL_115
tt3lfi,OA 6 Aufenthalt Nicht-EU,-,Abgeschlossen,2018-01-03T09:19:00+01:00,2018-01-05T08:16:00+01:00,CALL_115
o4rxnr,OA 6 Aufenthalt Nicht-EU,-,Abgeschlossen,2018-01-03T09:21:00+01:00,2018-01-30T12:43:00+01:00,CALL_115
gqgkw0,Gefahrenstellen,"Weinweg 9A, 76131 Karlsruhe, Deutschland",Eingetroffen,2018-01-03T09:24:00+01:00,2018-01-03T09:28:00+01:00,CALL_115
y5hxsn,115 Straßenreinigung,"Thomas-Mann-Straße 1, 76189 Karlsruhe, Deutschland",Abgeschlossen,2018-01-03T09:26:00+01:00,2018-01-04T04:43:00+01:00,CALL_115
dqqhg8,115 Abfall Sperrmüll/Weiße Ware (2nd Level),"Charlottenstraße 1, 76185 Karlsruhe, Deutschland",Abgeschlossen,2018-01-03T09:33:00+01:00,2018-01-04T05:41:00+01:00,CALL_115
femetw,Verunreinigungen,"Am Rüppurrer Schloß, 76199 Karlsruhe, Deutschland",Abgeschlossen,2018-01-03T09:36:00+01:00,2018-01-03T12:47:00+01:00,CALL_115
1ztd33,Verunreinigungen,"Diakonissenstraße, 76199 Karlsruhe, Deutschland",Abgeschlossen,2018-01-03T09:38:00+01:00,2018-01-03T12:37:00+01:00,CALL_115
fud48c,115 Straßenreinigung,"Johanna-Kirchner-Straße 4, 76189 Karlsruhe, Deutschland",Abgeschlossen,2018-01-03T09:43:00+01:00,2018-01-11T13:20:00+01:00,CALL_115
orewyb,Gefahrenstellen,"Günther-Klotz-Anlage, 76135 Karlsruhe, Deutschland",Eingetroffen,2018-01-03T09:50:00+01:00,2018-01-03T13:19:00+01:00,CALL_115
hf4pj2,115 Straßenreinigung,"Festpl. 1, 76137 Karlsruhe, Deutschland",Abgeschlossen,2018-01-03T09:50:00+01:00,2018-01-03T13:15:00+01:00,CALL_115
83r36j,115 Abfallsammlung,"Pionierstraße 1, 76187 Karlsruhe, Deutschland",Abgeschlossen,2018-01-03T10:00:00+01:00,2018-01-04T10:37:00+01:00,CALL_115
gq4s65,115 Abfallsammlung,"Grenadierstraße 50, 76133 Karlsruhe, Deutschland",Abgeschlossen,2018-01-03T10:07:00+01:00,2018-01-04T10:37:00+01:00,CALL_115
lf82y6,Gefahrenstellen,"Kanalweg, 76131 Karlsruhe, Deutschland",Eingetroffen,2018-01-03T10:15:00+01:00,2018-01-03T10:15:00+01:00,MOBILE
4j273u,Gefahrenstellen,,Eingetroffen,2018-01-03T10:17:00+01:00,2018-01-05T05:50:00+01:00,MOBILE
i3zcsm,115 Straßenreinigung,"Eugen-Richter-Straße 2, 76187 Karlsruhe, Deutschland",Abgeschlossen,2018-01-03T10:21:00+01:00,2018-01-15T06:49:00+01:00,CALL_115
azwue7,Gefahrenstellen,"Emmy-Noether-Straße 14, 76131 Karlsruhe, Deutschland",Abgeschlossen,2018-01-03T10:28:00+01:00,2018-06-21T05:19:00+01:00,MOBILE
8walgn,Gefahrenstellen,"Maybachstraße 3, 76227 Karlsruhe, Deutschland",Eingetroffen,2018-01-03T10:29:00+01:00,2018-01-03T12:53:00+01:00,CALL_115
mmaiyv,Gefahrenstellen,"Pfalzbahnstraße, 76187 Karlsruhe, Deutschland",Behoben,2018-01-03T10:37:00+01:00,2018-01-11T08:55:00+01:00,CALL_115
ttokiu,OA 6 Aufenthalt Nicht-EU,-,Abgeschlossen,2018-01-03T10:41:00+01:00,2018-01-04T14:36:00+01:00,CALL_115
5ezvf2,115 Abfallsammlung,"Am Wiesenrain 6, 76228 Karlsruhe, Deutschland",Abgeschlossen,2018-01-03T11:12:00+01:00,2018-01-17T11:21:00+01:00,CALL_115
wboz8p,OA 6 Notfalltermin (abgelaufener oder verlorener eAT),-,Abgeschlossen,2018-01-03T11:17:00+01:00,2018-02-02T13:28:00+01:00,CALL_115
odt0vu,Straßenbeleuchtung,"Welfenstraße 10, 76137 Karlsruhe, Deutschland",Behoben,2018-01-03T11:38:00+01:00,2018-01-09T08:18:00+01:00,CALL_115
dwfdtw,115 Straßenreinigung,"Stuttgarter Str. 35, 76137 Karlsruhe, Deutschland",Abgeschlossen,2018-01-03T11:40:00+01:00,2018-01-04T12:56:00+01:00,CALL_115
lkpf9r,115 Abfallsammlung,"Bachstraße 22, 76185 Karlsruhe, Deutschland",Abgeschlossen,2018-01-03T11:49:00+01:00,2018-01-17T11:20:00+01:00,CALL_115
bvbdfl,115 Abfallsammlung,"Hedwigstraße 2, 76199 Karlsruhe, Deutschland",Abgeschlossen,2018-01-03T12:23:00+01:00,2018-01-05T14:21:00+01:00,CALL_115
kv7kxc,115 Straßenreinigung,"Josef-Schofer-Straße, 76187 Karlsruhe, Deutschland",Abgeschlossen,2018-01-03T12:32:00+01:00,2018-01-11T13:19:00+01:00,CALL_115
p0srrp,115 Abfallsammlung,"Sophienstraße 221, 76185 Karlsruhe, Deutschland",Abgeschlossen,2018-01-03T12:50:00+01:00,2018-01-17T11:21:00+01:00,CALL_115
ko8jwf,115 Straßenreinigung,"Heinrich-Wittmann-Straße, 76131 Karlsruhe, Deutschland",Abgeschlossen,2018-01-03T13:32:00+01:00,2018-01-04T11:48:00+01:00,CALL_115
pyo0tt,115 Abfallsammlung,"Kaiserallee 23, 76133 Karlsruhe, Deutschland",Abgeschlossen,2018-01-03T13:35:00+01:00,2018-01-04T10:34:00+01:00,CALL_115
hsonlf,115 Abfallsammlung,"Hirschstraße 123, 76137 Karlsruhe, Deutschland",Abgeschlossen,2018-01-03T13:45:00+01:00,2018-01-17T11:20:00+01:00,CALL_115
hmhkha,115 Abfallsammlung,"Rosmarinweg 16, 76149 Karlsruhe, Deutschland",Abgeschlossen,2018-01-03T13:49:00+01:00,2018-01-17T11:20:00+01:00,CALL_115
rsvklx,115 Abfallsammlung,"Am Lustgarten, 76228 Karlsruhe, Deutschland",Abgeschlossen,2018-01-03T13:52:00+01:00,2018-01-17T11:20:00+01:00,CALL_115
eacst0,115 Straßenreinigung,"Herrmann-Leichtlin-Straße 30, 76185 Karlsruhe, Deutschland",Abgeschlossen,2018-01-03T13:57:00+01:00,2018-01-04T11:46:00+01:00,CALL_115
qpzeyg,115 Straßenreinigung,"Links der Alb, 76199 Karlsruhe, Deutschland",Abgeschlossen,2018-01-03T14:06:00+01:00,2018-01-25T12:45:00+01:00,CALL_115
3zygwl,115 Abfallsammlung,"Im Rosengärtle 10, 76227 Karlsruhe, Deutschland",Abgeschlossen,2018-01-03T14:14:00+01:00,2018-01-17T11:20:00+01:00,CALL_115
j4nrwt,115 Straßenreinigung,"Schlesier Str., 76227 Karlsruhe, Deutschland",Abgeschlossen,2018-01-03T14:17:00+01:00,2018-01-04T06:46:00+01:00,CALL_115
zdftge,115 Straßenreinigung,"Josef-Schofer-Straße, 76187 Karlsruhe, Deutschland",Abgeschlossen,2018-01-03T14:19:00+01:00,2018-01-04T09:17:00+01:00,CALL_115
4voyss,Ampel,,Behoben,2018-01-03T14:57:00+01:00,2018-01-25T12:42:00+01:00,CALL_115
j2islo,Straßenbeleuchtung,"Albert-Nestler-Straße 19, 76131 Karlsruhe, Deutschland",Abgeschlossen,2018-01-03T15:12:00+01:00,2018-10-31T10:08:00+01:00,CALL_115
v4rbxn,Straßenbeleuchtung,"Ostring 7, 76131 Karlsruhe, Deutschland",Behoben,2018-01-03T16:15:00+01:00,2018-01-19T10:18:00+01:00,MOBILE
m9rwlm,Ampel,,Behoben,2018-01-03T16:26:00+01:00,2018-01-05T08:56:00+01:00,MOBILE
oeazo1,Gefahrenstellen,"Steinmannstraße 1, 76199 Karlsruhe, Deutschland",Abgeschlossen,2018-01-03T20:20:00+01:00,2018-06-21T05:25:00+01:00,WEB
tatt0q,Straßenbeleuchtung,"Glogauer Str., 76139 Karlsruhe, Deutschland",Behoben,2018-01-03T21:03:00+01:00,2018-03-19T07:46:00+01:00,MOBILE
aaxbpb,Straßenbeleuchtung,"Weinbrennerstraße 108, 76185 Karlsruhe",Behoben,2018-01-03T22:40:00+01:00,2018-01-09T08:17:00+01:00,MOBILE
isbqvz,KA-Feedback Nutzerumfrage,-,Eingetroffen,2018-01-03T22:43:00+01:00,2018-01-03T22:45:00+01:00,MOBILE
ipbkdp,Verunreinigungen,"Ebertstraße 52E, 76137 Karlsruhe, Deutschland",Abgeschlossen,2018-01-04T05:32:00+01:00,2018-01-15T07:31:00+01:00,MOBILE
pyhbam,115 Abfallsammlung,"Gluckstraße 7, 76185 Karlsruhe, Deutschland",Abgeschlossen,2018-01-04T06:49:00+01:00,2018-01-05T14:01:00+01:00,CALL_115
mznggi,115 Straßenreinigung,"Moltkestraße 64, 76133 Karlsruhe, Deutschland",Abgeschlossen,2018-01-04T07:15:00+01:00,2018-01-04T11:45:00+01:00,CALL_115
h2bbsb,115 Abfallsammlung,"Boeckhstraße 4, 76137 Karlsruhe, Deutschland",Abgeschlossen,2018-01-04T07:18:00+01:00,2018-01-17T11:19:00+01:00,CALL_115
klem3z,115 Abfallsammlung,"Berliner Str. 65B, 76185 Karlsruhe, Deutschland",Abgeschlossen,2018-01-04T07:21:00+01:00,2018-01-17T11:19:00+01:00,CALL_115
weakpi,115 Abfallsammlung,"Rosmarinweg,  16  76149 Karlsruhe, Deutschland",Abgeschlossen,2018-01-04T07:21:00+01:00,2018-01-11T05:12:00+01:00,CALL_115
izvz14,115 Abfallsammlung,"Edelbergstraße 7, 76189 Karlsruhe, Deutschland",Abgeschlossen,2018-01-04T07:24:00+01:00,2018-01-17T11:19:00+01:00,CALL_115
1xtv7g,115 Abfallsammlung,"Rhodter Str. 4, 76185 Karlsruhe, Deutschland",Abgeschlossen,2018-01-04T07:30:00+01:00,2018-01-17T11:19:00+01:00,CALL_115
ppdkjp,115 Abfallsammlung,"Bachstraße 75, 76185 Karlsruhe, Deutschland",Abgeschlossen,2018-01-04T07:40:00+01:00,2018-01-05T13:24:00+01:00,CALL_115
jtjqhb,115 Abfallsammlung,,Abgeschlossen,2018-01-04T08:01:00+01:00,2018-01-15T07:52:00+01:00,CALL_115
ytgv28,Straßenbeleuchtung,"Kreuzstraße 5, 76133 Karlsruhe, Deutschland",Behoben,2018-01-04T08:19:00+01:00,2018-01-04T08:59:00+01:00,CALL_115
wnexqb,115 Abfallsammlung,"Bachstraße 40, 76185 Karlsruhe, Deutschland",Abgeschlossen,2018-01-04T08:50:00+01:00,2018-01-05T13:22:00+01:00,CALL_115
pkgvaw,Verunreinigungen,"Hardtstraße 45, 76185 Karlsruhe, Deutschland",Abgeschlossen,2018-01-04T08:52:00+01:00,2018-01-25T12:48:00+01:00,CALL_115
4vhvns,115 Abfallsammlung,"Hochbahnstraße 1-5, 76189 Karlsruhe, Deutschland",Abgeschlossen,2018-01-04T08:55:00+01:00,2018-01-17T11:19:00+01:00,CALL_115
onbcez,115 Abfallsammlung,"Sophienstraße 244, 76185 Karlsruhe, Deutschland",Abgeschlossen,2018-01-04T09:06:00+01:00,2018-01-17T11:18:00+01:00,CALL_115
t4ppzh,115 Abfallsammlung,"Otto-Wels-Straße 22, 76189 Karlsruhe, Deutschland",Abgeschlossen,2018-01-04T09:26:00+01:00,2018-01-17T11:18:00+01:00,CALL_115
lgmrdr,Straßenbeleuchtung,"New-York-Straße 3-7, 76149 Karlsruhe, Deutschland",Behoben,2018-01-04T09:29:00+01:00,2018-01-09T08:17:00+01:00,CALL_115
wmatby,115 Abfallsammlung,"Theodor-Rehbock-Straße 7, 76131 Karlsruhe, Deutschland",Abgeschlossen,2018-01-04T09:32:00+01:00,2018-01-04T11:36:00+01:00,CALL_115
pojvxe,Gefahrenstellen,"Herrenalber Str., 76199 Karlsruhe, Deutschland",Abgeschlossen,2018-01-04T09:39:00+01:00,2018-01-09T21:48:00+01:00,CALL_115
lexdhl,115 Abfallsammlung,,Abgeschlossen,2018-01-04T09:40:00+01:00,2018-01-17T11:18:00+01:00,CALL_115
1mfgxk,Straßenbeleuchtung,"Welfenstraße 33, 76137 Karlsruhe, Deutschland",Behoben,2018-01-04T09:49:00+01:00,2018-01-18T17:35:00+01:00,WEB
