Vorgangsnummer,Kategorie,Ort,Zustand,Erstellungsdatum,Letztes Bearbeitungsdatum,Eingangskanal
msukxz,Beschilderung,"Tullastraße 74, 76131 Karlsruhe, Deutschland",Eingetroffen,2015-12-31T20:44:00+01:00,2015-12-31T20:44:00+01:00,WEB
mbanmh,Verkehrsverstöße,"Luisenstraße 73A, 76137 Karlsruhe, Deutschland",Behoben,2015-12-31T13:28:00+01:00,2016-01-15T15:09:00+01:00,MOBILE
v0rfpc,Straßenbeleuchtung,"Hardtstraße 39, 76185 Karlsruhe, Deutschland",Behoben,2015-12-30T18:53:00+01:00,2016-01-13T13:06:00+01:00,MOBILE
yxbskv,Ampeln für Fußgänger oder Radfahrer,"Hardtstraße 66, 76185 Karlsruhe, Deutschland",Abgeschlossen,2015-12-30T14:41:00+01:00,2016-01-18T12:53:00+01:00,MOBILE
kemizo,Ampeln für Fußgänger oder Radfahrer,,Behoben,2015-12-30T13:08:00+01:00,2016-01-04T10:27:00+01:00,WEB
bdjeug,Gefahrenstellen,"Badener Str. 31, 76227 Karlsruhe, Deutschland",Eingetroffen,2015-12-30T11:22:00+01:00,2015-12-30T11:22:00+01:00,MOBILE
piknxj,Verunreinigungen,"Bonndorfer Str. 1, 76227 Karlsruhe, Deutschland",Eingetroffen,2015-12-30T10:21:00+01:00,2015-12-30T10:21:00+01:00,WEB
xi26ea,Verunreinigungen,,Eingetroffen,2015-12-30T08:05:00+01:00,2015-12-30T08:05:00+01:00,WEB
lekuia,Gefahrenstellen,"Schwarzwaldstraße 31, 76137 Karlsruhe, Deutschland",Eingetroffen,2015-12-29T22:32:00+01:00,2015-12-29T22:32:00+01:00,MOBILE
whiemv,Gefahrenstellen,"Wilhelm-Hausenstein-Allee 16, 76187 Karlsruhe, Deutschland",Eingetroffen,2015-12-29T18:43:00+01:00,2015-12-29T18:43:00+01:00,WEB
ipmszd,Verunreinigungen,"Rheinstraße 16, 76185 Karlsruhe, Deutschland",Eingetroffen,2015-12-29T18:12:00+01:00,2015-12-29T18:12:00+01:00,MOBILE
s8nkqh,Straßenbeleuchtung,"Schenkenburgstraße 10, 76135 Karlsruhe, Deutschland",In Arbeit,2015-12-29T17:36:00+01:00,2016-02-24T07:58:00+01:00,MOBILE
1czotm,KA-Feedback Nutzerumfrage,"Stuttgarter Str. 59, 76137 Karlsruhe, Deutschland",Eingetroffen,2015-12-29T16:42:00+01:00,2015-12-29T16:42:00+01:00,MOBILE
smn1fx,Verunreinigungen,"Stuttgarter Str. 59, 76137 Karlsruhe, Deutschland",Eingetroffen,2015-12-29T16:41:00+01:00,2015-12-29T16:41:00+01:00,MOBILE
m1i2wp,Verkehrsverstöße,"Weltzienstraße 4, 76135 Karlsruhe, Deutschland",Behoben,2015-12-28T12:34:00+01:00,2016-01-15T15:11:00+01:00,MOBILE
rmjovd,Verkehrsverstöße,"Weltzienstraße 4, 76135 Karlsruhe, Deutschland",Behoben,2015-12-28T12:34:00+01:00,2015-12-29T10:53:00+01:00,MOBILE
p3p6bv,Verunreinigungen,"Hedwig-Kettler-Straße 16, 76137 Karlsruhe, Deutschland",Eingetroffen,2015-12-28T09:00:00+01:00,2015-12-28T09:00:00+01:00,MOBILE
h6kxvc,Verunreinigungen,"Hedwig-Kettler-Straße 16, 76137 Karlsruhe, Deutschland",Eingetroffen,2015-12-28T08:59:00+01:00,2015-12-28T08:59:00+01:00,MOBILE
vif5ri,KA-Feedback Nutzerumfrage,"Lohwiesenweg 48, 76135 Karlsruhe, Deutschland",Eingetroffen,2015-12-27T20:13:00+01:00,2015-12-27T20:13:00+01:00,MOBILE
ffbl57,KA-Feedback Nutzerumfrage,"Tiefentalstraße 39, 76228 Karlsruhe, Deutschland",Eingetroffen,2015-12-27T20:11:00+01:00,2015-12-27T20:11:00+01:00,MOBILE
obxbin,Straßenbeleuchtung,"B3, 76228 Karlsruhe, Deutschland",Behoben,2015-12-27T19:57:00+01:00,2015-12-28T15:45:00+01:00,MOBILE
w2kwho,Straßenbeleuchtung,"B3, 76228 Karlsruhe, Deutschland",Behoben,2015-12-27T19:49:00+01:00,2015-12-28T15:45:00+01:00,MOBILE
tgz06l,Gefahrenstellen,"Östliche Rheinbrückenstraße 1, 76187 Karlsruhe, Deutschland",Eingetroffen,2015-12-27T11:36:00+01:00,2015-12-27T11:36:00+01:00,MOBILE
f5vw5d,Verunreinigungen,"Hohenzollernstraße 34, 76135 Karlsruhe, Deutschland",In Arbeit,2015-12-27T10:46:00+01:00,2016-01-05T08:16:00+01:00,MOBILE
srmr6c,Pünktlichkeit des ÖPNV,"Rußweg, 76227 Karlsruhe, Deutschland",Abgeschlossen,2015-12-27T10:34:00+01:00,2015-12-28T11:26:00+01:00,MOBILE
s5ucmq,Straßenbeleuchtung,"Schlachthausstraße 7, 76131 Karlsruhe, Deutschland",Behoben,2015-12-27T10:01:00+01:00,2016-01-13T13:09:00+01:00,MOBILE
qopbco,Verunreinigungen,"Donaulandstraße 7, 76228 Karlsruhe, Deutschland",Behoben,2015-12-26T14:03:00+01:00,2016-01-05T08:12:00+01:00,MOBILE
caf3zg,Beschilderung,"Naumburger Str. 62, 76139 Karlsruhe, Deutschland",Eingetroffen,2015-12-26T10:39:00+01:00,2015-12-26T10:39:00+01:00,MOBILE
u7ugkh,Straßenbeleuchtung,"Schlachthausstraße 7, 76131 Karlsruhe, Deutschland",Behoben,2015-12-26T09:42:00+01:00,2016-01-13T13:09:00+01:00,MOBILE
zp2byh,Straßenbeleuchtung,"Rüppurrer Str. 1, 76137 Karlsruhe, Deutschland",Behoben,2015-12-25T23:06:00+01:00,2015-12-28T15:47:00+01:00,MOBILE
5i8k0w,Straßenbeleuchtung,"Rüppurrer Str. 1, 76137 Karlsruhe, Deutschland",Behoben,2015-12-25T23:03:00+01:00,2015-12-28T15:47:00+01:00,MOBILE
ktttl3,Verkehrsverstöße,"Stiller Winkel 6, 76187 Karlsruhe, Deutschland",Behoben,2015-12-25T22:40:00+01:00,2015-12-29T10:52:00+01:00,MOBILE
es9ep6,Straßenbeleuchtung,"Beiertheimer Allee 74, 76137 Karlsruhe, Deutschland",Behoben,2015-12-24T22:09:00+01:00,2015-12-28T15:49:00+01:00,MOBILE
bm6vuq,Verunreinigungen,"Lohwiesenweg 78, 76135 Karlsruhe, Deutschland",Eingetroffen,2015-12-24T13:36:00+01:00,2015-12-24T13:36:00+01:00,MOBILE
vqil6q,Beschilderung,"Klammweg 74, 76149 Karlsruhe, Deutschland",Behoben,2015-12-24T10:41:00+01:00,2015-12-29T13:10:00+01:00,MOBILE
uqwdpw,Straßenbeleuchtung,"Haid-und-Neu-Straße 157, 76131 Karlsruhe, Deutschland",Behoben,2015-12-23T18:36:00+01:00,2015-12-28T15:49:00+01:00,MOBILE
jlf0dc,Straßenbeleuchtung,"Am Sportpark, 76131 Karlsruhe, Deutschland",Behoben,2015-12-23T18:34:00+01:00,2015-12-28T15:48:00+01:00,MOBILE
7uoomy,Straßenbeleuchtung,"Am Sportpark, 76131 Karlsruhe, Deutschland",Behoben,2015-12-23T18:31:00+01:00,2015-12-28T15:48:00+01:00,MOBILE
9ihrlb,Verunreinigungen,"Gottesauer Str. 22, 76131 Karlsruhe, Deutschland",Eingetroffen,2015-12-23T15:32:00+01:00,2015-12-23T17:33:00+01:00,WEB
yfeqxo,Verunreinigungen,"Kleingärtnerweg, 76139 Karlsruhe, Deutschland",Eingetroffen,2015-12-23T13:18:00+01:00,2015-12-23T13:18:00+01:00,WEB
vnvidp,Gefahrenstellen,"Sophienstraße 61, 76133 Karlsruhe, Deutschland",Eingetroffen,2015-12-23T12:41:00+01:00,2015-12-23T12:41:00+01:00,WEB
zyz3zl,Beschilderung,"Am Schulberg 1, 76149 Karlsruhe, Deutschland",In Arbeit,2015-12-23T11:31:00+01:00,2015-12-29T10:51:00+01:00,MOBILE
9krpx2,Verkehrsverstöße,"Wolfartsweierer Str. 1, 76131 Karlsruhe, Deutschland",Behoben,2015-12-23T09:15:00+01:00,2015-12-29T10:50:00+01:00,MOBILE
tl5klw,Verkehrsverstöße,"Wolfartsweierer Str. 1, 76131 Karlsruhe, Deutschland",Behoben,2015-12-23T09:12:00+01:00,2015-12-29T10:49:00+01:00,MOBILE
