Vorgangsnummer,Kategorie,Ort,Zustand,Erstellungsdatum,Letztes Bearbeitungsdatum,Eingangskanal
laxgej,Straßenbeleuchtung,"Ostendstraße 19, 76131 Karlsruhe, Deutschland",Behoben,2015-12-22T22:34:00+01:00,2015-12-23T15:43:00+01:00,MOBILE
dvbjzu,Straßenbeleuchtung,"Manfred Hädinger Weg, 76185 Karlsruhe, Deutschland",Behoben,2015-12-22T19:39:00+01:00,2015-12-28T15:39:00+01:00,MOBILE
9n3k0y,Verkehrsverstöße,"Sophienstraße 61, 76133 Karlsruhe, Deutschland",Behoben,2015-12-22T18:35:00+01:00,2016-01-15T14:48:00+01:00,MOBILE
mferyb,Verkehrsverstöße,"Sophienstraße 61, 76133 Karlsruhe, Deutschland",Behoben,2015-12-22T18:35:00+01:00,2015-12-29T10:48:00+01:00,MOBILE
po0phv,Verunreinigungen,"Unterfeldstraße 12, 76149 Karlsruhe, Deutschland",In Arbeit,2015-12-22T13:01:00+01:00,2015-12-22T15:03:00+01:00,MOBILE
uc3kqm,Straßenbeleuchtung,"Breslauer Str. 6, 76139 Karlsruhe, Deutschland",Behoben,2015-12-22T12:41:00+01:00,2015-12-23T15:44:00+01:00,WEB
zje3vx,Verunreinigungen,"L605, 76135 Karlsruhe, Deutschland",In Arbeit,2015-12-22T08:48:00+01:00,2015-12-22T09:48:00+01:00,MOBILE
c4ycek,Beschilderung,"Lammstraße 19, 76133 Karlsruhe, Deutschland",In Arbeit,2015-12-22T08:02:00+01:00,2016-02-05T06:40:00+01:00,WEB
v2j7ih,Straßenbeleuchtung,"Tiefentalstraße, 76228 Karlsruhe, Deutschland",Behoben,2015-12-21T23:28:00+01:00,2015-12-22T15:56:00+01:00,WEB
g2b6cq,Verunreinigungen,"Kentuckyallee 68, 76149 Karlsruhe, Deutschland",Eingetroffen,2015-12-21T16:02:00+01:00,2015-12-21T16:02:00+01:00,MOBILE
khwurv,Verunreinigungen,"Kentuckyallee 68, 76149 Karlsruhe, Deutschland",Eingetroffen,2015-12-21T16:02:00+01:00,2015-12-21T16:02:00+01:00,MOBILE
dlzjyv,Ampel für Kraftfahrzeuge,"Südbeckenstraße 3, 76189 Karlsruhe, Deutschland",Abgeschlossen,2015-12-21T14:25:00+01:00,2016-02-10T08:45:00+01:00,MOBILE
hmgypz,Verunreinigungen,"Amalienstraße 4, 76133 Karlsruhe, Deutschland",Behoben,2015-12-21T13:39:00+01:00,2016-04-22T11:45:00+02:00,MOBILE
d7rm8d,Verunreinigungen,"Hermann-Höpker-Aschoff-Straße 2, 76149 Karlsruhe, Deutschland",Eingetroffen,2015-12-21T12:19:00+01:00,2015-12-21T12:19:00+01:00,MOBILE
pfqubg,Gefahrenstellen,"Ahaweg 4, 76131 Karlsruhe, Deutschland",Eingetroffen,2015-12-21T11:27:00+01:00,2015-12-21T11:27:00+01:00,MOBILE
ghgcwy,Verunreinigungen,"Herrenalber Str. 45, 76199 Karlsruhe, Deutschland",Eingetroffen,2015-12-21T07:48:00+01:00,2015-12-21T07:48:00+01:00,MOBILE
hvplom,Verunreinigungen,"Hermann-Höpker-Aschoff-Straße 2, 76149 Karlsruhe, Deutschland",Eingetroffen,2015-12-20T23:52:00+01:00,2015-12-20T23:52:00+01:00,MOBILE
u1qxhf,Straßenbeleuchtung,"Vorarlberger Str. 9, 76227 Karlsruhe, Deutschland",Behoben,2015-12-20T21:06:00+01:00,2015-12-22T15:20:00+01:00,WEB
kyk04k,Verunreinigungen,"Grabener Allee, 76149 Karlsruhe, Deutschland",Eingetroffen,2015-12-20T20:05:00+01:00,2015-12-20T20:05:00+01:00,WEB
1zte69,Verunreinigungen,"Grabener Allee, 76149 Karlsruhe, Deutschland",Eingetroffen,2015-12-20T19:55:00+01:00,2015-12-20T19:55:00+01:00,WEB
kzo40c,Straßenbeleuchtung,"Langenbruchweg, 76199 Karlsruhe, Deutschland",Behoben,2015-12-20T16:57:00+01:00,2015-12-22T15:20:00+01:00,MOBILE
glgqgz,Verunreinigungen,"Belchenpl. 5-6, 76199 Karlsruhe, Deutschland",Eingetroffen,2015-12-20T16:02:00+01:00,2015-12-20T16:02:00+01:00,MOBILE
gq6vzt,Beschilderung,"Durlacher Allee 26, 76131 Karlsruhe, Deutschland",Behoben,2015-12-20T13:16:00+01:00,2015-12-28T12:42:00+01:00,WEB
0arsac,Verunreinigungen,"Friedrich-Naumann-Straße 38, 76187 Karlsruhe, Deutschland",Eingetroffen,2015-12-20T12:42:00+01:00,2015-12-20T12:42:00+01:00,MOBILE
d1k6pb,KA-Feedback Nutzerumfrage,"Durlacher Allee 44, 76131 Karlsruhe, Deutschland",Eingetroffen,2015-12-20T11:21:00+01:00,2015-12-20T11:21:00+01:00,MOBILE
zeg6ss,Verkehrsverstöße,"Waldstraße 54, 76133 Karlsruhe, Deutschland",Behoben,2015-12-20T11:17:00+01:00,2015-12-29T10:47:00+01:00,WEB
i2iclh,Gefahrenstellen,"Durlacher Allee 64, 76131 Karlsruhe, Deutschland",Behoben,2015-12-20T10:38:00+01:00,2016-03-08T09:04:00+01:00,MOBILE
4f2jop,Verunreinigungen,"Kurt-Schumacher-Straße 13, 76187 Karlsruhe, Deutschland",In Arbeit,2015-12-20T09:58:00+01:00,2015-12-21T10:44:00+01:00,WEB
u6uras,KA-Feedback Nutzerumfrage,"Lassallestraße 30, 76187 Karlsruhe, Deutschland",Eingetroffen,2015-12-19T22:45:00+01:00,2015-12-19T22:45:00+01:00,MOBILE
mwphhh,Beschilderung,"Otto-Wels-Straße 31, 76189 Karlsruhe, Deutschland",Behoben,2015-12-19T21:34:00+01:00,2016-02-04T14:23:00+01:00,MOBILE
iwuxwq,Verunreinigungen,"Akazienstraße, 76185 Karlsruhe, Deutschland",In Arbeit,2015-12-19T21:28:00+01:00,2016-10-03T03:19:00+02:00,MOBILE
ofgic0,Straßenbeleuchtung,"Ettlinger Allee 1, 76199 Karlsruhe, Deutschland",Behoben,2015-12-19T19:31:00+01:00,2015-12-21T15:40:00+01:00,WEB
dhlk7n,Verkehrsverstöße,"Hauptbahnstraße 1, 76227 Karlsruhe, Deutschland",Behoben,2015-12-19T19:29:00+01:00,2015-12-29T10:44:00+01:00,MOBILE
c7q1ge,Verunreinigungen,"Weltzienstraße 17, 76135 Karlsruhe, Deutschland",Eingetroffen,2015-12-19T16:37:00+01:00,2015-12-19T16:37:00+01:00,MOBILE
s1o5mr,Verunreinigungen,"Theodor-Heuss-Allee, 76139 Karlsruhe, Deutschland",Eingetroffen,2015-12-19T16:07:00+01:00,2015-12-19T16:07:00+01:00,MOBILE
c2zq0x,Gefahrenstellen,"Erlachseeweg, 76227 Karlsruhe, Deutschland",Eingetroffen,2015-12-19T13:49:00+01:00,2015-12-19T13:49:00+01:00,MOBILE
naa72o,Ampel für Kraftfahrzeuge,"Honsellstraße 32, 76189 Karlsruhe, Deutschland",Behoben,2015-12-19T13:31:00+01:00,2015-12-21T13:15:00+01:00,MOBILE
3hfvjb,Gefahrenstellen,"Beiertheimer Allee 78, 76137 Karlsruhe, Deutschland",Eingetroffen,2015-12-19T11:16:00+01:00,2015-12-19T11:16:00+01:00,MOBILE
yqewqh,KA-Feedback Nutzerumfrage,"Goethestraße 35, 76135 Karlsruhe, Deutschland",Eingetroffen,2015-12-19T10:05:00+01:00,2015-12-19T10:05:00+01:00,MOBILE
t65rpa,Verunreinigungen,"Kaiserstraße 190, 76133 Karlsruhe, Deutschland",In Arbeit,2015-12-19T10:03:00+01:00,2015-12-21T10:46:00+01:00,MOBILE
wv6cbn,Straßenbeleuchtung,"Zedernweg 32, 76149 Karlsruhe, Deutschland",Behoben,2015-12-19T07:52:00+01:00,2015-12-21T15:50:00+01:00,WEB
43wkea,Verkehrsverstöße,"Schneidemühler Str. 24, 76139 Karlsruhe, Deutschland",Behoben,2015-12-18T23:52:00+01:00,2015-12-29T10:43:00+01:00,MOBILE
mhoh2h,Straßenbeleuchtung,"Kärntner Str. 18A, 76227 Karlsruhe, Germany",Behoben,2015-12-18T22:28:00+01:00,2015-12-22T15:21:00+01:00,WEB
i271q8,Straßenbeleuchtung,"Hölderlinstraße 4, 76131 Karlsruhe, Deutschland",Behoben,2015-12-18T21:41:00+01:00,2015-12-24T18:08:00+01:00,WEB
fuagio,Straßenbeleuchtung,"Wilhelm-Leuschner-Straße 39, 76189 Karlsruhe, Deutschland",Behoben,2015-12-18T20:20:00+01:00,2015-12-22T15:22:00+01:00,MOBILE
fbqzs5,Verkehrsverstöße,"Dreikönigstraße 12, 76187 Karlsruhe, Deutschland",Behoben,2015-12-18T17:41:00+01:00,2015-12-29T10:42:00+01:00,MOBILE
kz3jyb,Verunreinigungen,"Ettlinger Allee 5, 76199 Karlsruhe, Deutschland",Behoben,2015-12-18T12:30:00+01:00,2016-02-22T09:50:00+01:00,MOBILE
bnlrek,Verkehrsverstöße,"Hertzstraße 104, 76187 Karlsruhe, Deutschland",In Arbeit,2015-12-17T22:09:00+01:00,2015-12-29T10:41:00+01:00,WEB
i664tl,Straßenbeleuchtung,"Kremnitzer Str. 36, 76227 Karlsruhe, Deutschland",Behoben,2015-12-17T19:56:00+01:00,2015-12-21T12:06:00+01:00,MOBILE
ztna1f,Straßenbeleuchtung,"Ersinger Str. 6D, 76227 Karlsruhe, Deutschland",Abgeschlossen,2015-12-17T18:42:00+01:00,2015-12-18T06:30:00+01:00,MOBILE
rymfqa,Straßenbeleuchtung,"Königsberger Str. 21G, 76139 Karlsruhe, Germany",Abgeschlossen,2015-12-17T17:28:00+01:00,2016-01-13T13:08:00+01:00,WEB
ehm7nr,Verunreinigungen,"Rheinhafenstraße, 76185 Karlsruhe, Deutschland",Eingetroffen,2015-12-17T16:25:00+01:00,2015-12-17T16:25:00+01:00,MOBILE
pcksdx,Verkehrsverstöße,"Badener Str. 60, 76227 Karlsruhe, Deutschland",Behoben,2015-12-17T13:22:00+01:00,2015-12-29T10:40:00+01:00,WEB
nyj6uq,Beschilderung,"Markgrafenstraße 30, 76133 Karlsruhe, Deutschland",Behoben,2015-12-17T11:34:00+01:00,2015-12-29T10:38:00+01:00,MOBILE
2mrn9y,Straßenbeleuchtung,"Wikingerstraße 36, 76189 Karlsruhe, Deutschland",Abgeschlossen,2015-12-17T06:58:00+01:00,2015-12-17T07:00:00+01:00,MOBILE
hok681,Straßenbeleuchtung,"Schwarzwaldstraße 6, 76137 Karlsruhe, Deutschland",Behoben,2015-12-17T06:46:00+01:00,2015-12-21T19:31:00+01:00,MOBILE
4e9h1u,Verkehrsverstöße,"Karlstraße 36-38, 76133 Karlsruhe, Deutschland",Behoben,2015-12-16T22:41:00+01:00,2015-12-29T10:36:00+01:00,WEB
a0u3zk,Straßenbeleuchtung,"Neuenbürger Str. 34, 76228 Karlsruhe, Deutschland",Behoben,2015-12-16T22:07:00+01:00,2015-12-18T07:22:00+01:00,MOBILE
zvowne,Beschilderung,"Waldstraße 7, 76133 Karlsruhe, Deutschland",In Arbeit,2015-12-16T20:58:00+01:00,2015-12-29T10:35:00+01:00,WEB
nkd6gb,Gefahrenstellen,"K9657, 76135 Karlsruhe, Deutschland",Eingetroffen,2015-12-16T13:25:00+01:00,2015-12-16T13:25:00+01:00,MOBILE
t5dtq5,Straßenbeleuchtung,"Staigstraße 33, 76229 Karlsruhe, Deutschland",Abgeschlossen,2015-12-16T11:46:00+01:00,2015-12-16T12:08:00+01:00,MOBILE
c1hpix,Verkehrsverstöße,"Siemensallee, Karlsruhe, Deutschland",Behoben,2015-12-16T11:00:00+01:00,2015-12-29T10:32:00+01:00,WEB
i6jcmm,Verkehrsverstöße,"Luise-Riegger-Straße 14, 76137 Karlsruhe, Deutschland",Behoben,2015-12-16T09:28:00+01:00,2015-12-29T10:30:00+01:00,MOBILE
f85fz6,Verunreinigungen,"Anna-Lauter-Straße 9, 76137 Karlsruhe, Deutschland",Eingetroffen,2015-12-16T09:20:00+01:00,2015-12-16T09:20:00+01:00,MOBILE
pblvcb,Ampeln für Fußgänger oder Radfahrer,"Ludwig-Erhard-Allee 8, 76137 Karlsruhe, Deutschland",Abgeschlossen,2015-12-16T09:09:00+01:00,2016-02-08T13:40:00+01:00,MOBILE
upozis,Gefahrenstellen,"Belchenpl. 8, 76199 Karlsruhe, Deutschland",Behoben,2015-12-15T16:03:00+01:00,2016-03-08T09:03:00+01:00,MOBILE
mdrsp9,Verkehrsverstöße,"Oberwaldstraße 5, 76227 Karlsruhe, Deutschland",Behoben,2015-12-15T15:57:00+01:00,2015-12-29T10:29:00+01:00,WEB
abrbak,Verunreinigungen,,Abgeschlossen,2015-12-15T14:56:00+01:00,2015-12-15T15:05:00+01:00,WEB
vsptyw,Verkehrsverstöße,"Dreikönigstraße 10, 76187 Karlsruhe, Deutschland",Behoben,2015-12-15T14:19:00+01:00,2015-12-29T10:28:00+01:00,MOBILE
d4bev9,Verunreinigungen,"Wilhelm-Leuschner-Straße, Karlsruhe, Deutschland",Abgeschlossen,2015-12-15T10:30:00+01:00,2015-12-17T08:11:00+01:00,MOBILE
frbnp1,Ampeln für Fußgänger oder Radfahrer,"Diakonissenstraße 29A, 76199 Karlsruhe, Deutschland",Behoben,2015-12-15T08:54:00+01:00,2015-12-18T12:41:00+01:00,MOBILE
1jm5v1,Verkehrsverstöße,"Lachnerstraße 22, 76131 Karlsruhe, Deutschland",Behoben,2015-12-15T07:14:00+01:00,2015-12-29T10:27:00+01:00,MOBILE
ykbl97,Verkehrsverstöße,"Lachnerstraße 22, 76131 Karlsruhe, Deutschland",Behoben,2015-12-15T07:13:00+01:00,2015-12-29T10:26:00+01:00,MOBILE
z0dfri,Verunreinigungen,"Fiduciastraße, 76227 Karlsruhe, Deutschland",In Arbeit,2015-12-14T20:35:00+01:00,2015-12-15T07:25:00+01:00,MOBILE
tzddzs,KA-Feedback Nutzerumfrage,"Melitta-Schöpf-Straße 4, 76137 Karlsruhe, Deutschland",Eingetroffen,2015-12-14T19:14:00+01:00,2015-12-14T19:14:00+01:00,MOBILE
ppqnoq,Gefahrenstellen,"Erbprinzenstraße 13, 76133 Karlsruhe, Deutschland",Eingetroffen,2015-12-14T18:32:00+01:00,2015-12-14T18:32:00+01:00,MOBILE
pzcdkd,Straßenbeleuchtung,"Rhode-Island-Allee 52, 76149 Karlsruhe, Deutschland",Behoben,2015-12-14T15:52:00+01:00,2016-01-13T13:08:00+01:00,MOBILE
tmiffw,Verkehrsverstöße,"Gottesauer Str. 25, 76131 Karlsruhe, Deutschland",Behoben,2015-12-14T13:23:00+01:00,2015-12-29T10:25:00+01:00,MOBILE
upabgw,Verunreinigungen,"Joachim-Kurzaj-Weg 9, 76189 Karlsruhe, Deutschland",Eingetroffen,2015-12-14T10:51:00+01:00,2015-12-14T10:51:00+01:00,MOBILE
kjcwoj,Beschilderung,"Feldbergpl. 1A, 76199 Karlsruhe, Deutschland",Eingetroffen,2015-12-13T15:56:00+01:00,2015-12-13T15:56:00+01:00,MOBILE
gtoibf,Beschilderung,"Feldbergpl. 1A, 76199 Karlsruhe, Deutschland",Eingetroffen,2015-12-13T15:55:00+01:00,2015-12-13T15:55:00+01:00,MOBILE
dnmslx,Gefahrenstellen,"Feldbergpl. 1A, 76199 Karlsruhe, Deutschland",Eingetroffen,2015-12-13T15:54:00+01:00,2015-12-13T15:54:00+01:00,MOBILE
qssps7,Gefahrenstellen,"Feldbergpl. 1A, 76199 Karlsruhe, Deutschland",Eingetroffen,2015-12-13T15:54:00+01:00,2015-12-13T15:54:00+01:00,MOBILE
uleii8,Verunreinigungen,"Friedrich-Blos-Straße 42, 76133 Karlsruhe, Deutschland",Eingetroffen,2015-12-13T15:47:00+01:00,2015-12-13T15:47:00+01:00,MOBILE
uevrpb,Verunreinigungen,"Kaiserstraße 145, 76133 Karlsruhe, Deutschland",Eingetroffen,2015-12-13T14:55:00+01:00,2015-12-13T14:55:00+01:00,MOBILE
4vn17h,Straßenbeleuchtung,"Yorckstraße 1, 76185 Karlsruhe, Deutschland",Behoben,2015-12-12T20:06:00+01:00,2015-12-23T10:57:00+01:00,WEB
bt8in2,Straßenbeleuchtung,"Erzbergerstraße 69, 76133 Karlsruhe, Deutschland",Behoben,2015-12-12T20:02:00+01:00,2016-01-13T13:07:00+01:00,WEB
kkq2dl,Beschilderung,"Ludwig-Erhard-Allee 24, 76131 Karlsruhe, Deutschland",Behoben,2015-12-12T16:52:00+01:00,2016-02-11T11:26:00+01:00,MOBILE
tvxmop,Beschilderung,"Ludwig-Erhard-Allee 4, 76131 Karlsruhe, Deutschland",Behoben,2015-12-12T16:45:00+01:00,2016-03-11T11:39:00+01:00,MOBILE
q8mtui,Beschilderung,"Festplatz, 76137 Karlsruhe, Deutschland",Behoben,2015-12-12T15:02:00+01:00,2016-03-04T11:15:00+01:00,MOBILE
gzeuzu,Straßenbeleuchtung,"Glogauer Str. 10, 76139 Karlsruhe, Deutschland",Behoben,2015-12-12T14:27:00+01:00,2015-12-23T10:55:00+01:00,WEB
83aczc,Ampel für Kraftfahrzeuge,"L604, 76139 Karlsruhe, Deutschland",Behoben,2015-12-12T12:26:00+01:00,2015-12-14T08:16:00+01:00,WEB
zyhjqm,Verkehrsverstöße,"Memeler Str. 8, 76227 Karlsruhe, Deutschland",Behoben,2015-12-12T09:06:00+01:00,2015-12-29T10:21:00+01:00,MOBILE
uf0wcw,Gefahrenstellen,"Rheinbrückenstraße, Karlsruhe, Deutschland",Eingetroffen,2015-12-11T23:00:00+01:00,2015-12-11T23:00:00+01:00,WEB
7x9kkf,Verunreinigungen,"Yorckstraße 27, 76185 Karlsruhe, Deutschland",Eingetroffen,2015-12-11T15:48:00+01:00,2015-12-11T15:48:00+01:00,WEB
swn6u5,Verunreinigungen,"Yorckstraße 27, 76185 Karlsruhe, Deutschland",Eingetroffen,2015-12-11T15:46:00+01:00,2015-12-11T15:46:00+01:00,WEB
ce8qay,Verunreinigungen,"Adenauerring 2, 76131 Karlsruhe, Deutschland",Eingetroffen,2015-12-11T15:36:00+01:00,2015-12-11T15:36:00+01:00,MOBILE
kay3oe,Verunreinigungen,"Durlacher Allee 111, 76137 Karlsruhe, Deutschland",Eingetroffen,2015-12-11T15:30:00+01:00,2015-12-11T15:30:00+01:00,MOBILE
jqcqhx,Gefahrenstellen,"Sinsheimer Str. 19, 76131 Karlsruhe, Deutschland",Behoben,2015-12-11T15:28:00+01:00,2015-12-15T08:09:00+01:00,WEB
dl5xzr,Verunreinigungen,"Gottesauer Str. 7, 76131 Karlsruhe, Deutschland",Eingetroffen,2015-12-11T12:49:00+01:00,2015-12-11T12:49:00+01:00,WEB
og2z28,Straßenbeleuchtung,"Karlsruher Str. 99, 76139 Karlsruhe, Deutschland",Behoben,2015-12-11T12:33:00+01:00,2015-12-15T08:06:00+01:00,WEB
vmdrbr,Verkehrsverstöße,"Frankenstraße 1, 76137 Karlsruhe, Deutschland",Behoben,2015-12-11T06:06:00+01:00,2015-12-29T10:20:00+01:00,WEB
bd9cpf,Verkehrsverstöße,"Hirschstraße 137, 76137 Karlsruhe, Deutschland",Behoben,2015-12-11T06:01:00+01:00,2015-12-29T10:19:00+01:00,WEB
whcrcl,Verunreinigungen,"Böhmerwaldstraße 15, 76228 Karlsruhe, Deutschland",Eingetroffen,2015-12-10T20:59:00+01:00,2015-12-10T20:59:00+01:00,MOBILE
ighqav,Straßenbeleuchtung,"Am Herrenweg 24, 76228 Karlsruhe, Deutschland",Behoben,2015-12-10T20:57:00+01:00,2015-12-23T11:03:00+01:00,MOBILE
