Vorgangsnummer,Kategorie,Ort,Zustand,Erstellungsdatum,Letztes Bearbeitungsdatum,Eingangskanal
ie1quz,Verunreinigungen,"Paul-Ehrlich-Straße 26, 76133 Karlsruhe",Eingetroffen,2014-05-21T10:38:00+02:00,2014-05-21T10:38:00+02:00,MOBILE
68vfvt,Gefahrenstellen,"Honsellstraße 39A, 76189 Karlsruhe",Eingetroffen,2014-05-21T08:29:00+02:00,2014-05-21T08:29:00+02:00,MOBILE
lwmap8,Verkehrsverstöße,"Siemensallee 84, 76187 Karlsruhe",Behoben,2014-05-21T08:12:00+02:00,2014-08-01T10:27:00+02:00,MOBILE
ca2l8o,Verunreinigungen,"Karl-Wolf-Weg, 76135 Karlsruhe",Behoben,2014-05-21T08:06:00+02:00,2014-12-22T10:50:00+01:00,MOBILE
1y0dmh,KA-Feedback Nutzerumfrage,"Basler-Tor-Straße 51, 76227 Karlsruhe",Eingetroffen,2014-05-20T23:59:00+02:00,2014-05-20T23:59:00+02:00,MOBILE
duprrq,Verunreinigungen,"Karl-Wolf-Weg, 76135 Karlsruhe",Behoben,2014-05-20T19:05:00+02:00,2014-12-22T10:51:00+01:00,MOBILE
lrmpky,Verkehrsverstöße,"Wiesbadener Straße 20A, 76185 Karlsruhe",Behoben,2014-05-20T12:31:00+02:00,2014-08-06T13:43:00+02:00,MOBILE
lrnqud,Verunreinigungen,"Weiherfeldstraße, Karlsruhe",Eingetroffen,2014-05-20T11:48:00+02:00,2014-05-20T11:48:00+02:00,MOBILE
tlt5ou,Verkehrsverstöße,"Steubenstraße 8-10, 76185 Karlsruhe",In Arbeit,2014-05-20T11:13:00+02:00,2014-08-01T10:30:00+02:00,MOBILE
wnpy4a,Gefahrenstellen,"Georg-Friedrich-Straße 17, 76131 Karlsruhe",Eingetroffen,2014-05-20T09:14:00+02:00,2014-05-20T09:14:00+02:00,MOBILE
72elew,Gefahrenstellen,"Georg-Friedrich-Straße 17, 76131 Karlsruhe",Eingetroffen,2014-05-20T09:14:00+02:00,2014-05-20T09:14:00+02:00,MOBILE
wvpfbk,KA-Feedback Nutzerumfrage,"Baumeisterstraße 56, 76137 Karlsruhe",Eingetroffen,2014-05-19T23:53:00+02:00,2014-05-19T23:53:00+02:00,MOBILE
dtydok,Gefahrenstellen,"Ritterstraße 9, 76137 Karlsruhe",Eingetroffen,2014-05-19T23:52:00+02:00,2014-05-19T23:52:00+02:00,MOBILE
yrmsrb,Gefahrenstellen,"Ritterstraße 9, 76137 Karlsruhe",Eingetroffen,2014-05-19T23:52:00+02:00,2014-05-19T23:52:00+02:00,MOBILE
9yupqv,Gefahrenstellen,"Schwarzwaldstraße 86, 76137 Karlsruhe",Eingetroffen,2014-05-19T23:34:00+02:00,2014-05-19T23:34:00+02:00,MOBILE
0ovnxj,Verunreinigungen,"Langenbruchweg, 76137 Karlsruhe",Eingetroffen,2014-05-19T21:54:00+02:00,2014-05-19T21:54:00+02:00,MOBILE
bg0s3z,Gefahrenstellen,"Schwarzwaldstraße, 76137 Karlsruhe",Behoben,2014-05-19T19:08:00+02:00,2014-05-19T19:08:00+02:00,MOBILE
xmstol,Verkehrsverstöße,"Ostring, 76137 Karlsruhe",Eingetroffen,2014-05-19T16:53:00+02:00,2014-05-19T16:53:00+02:00,MOBILE
cvd7nj,Verkehrsverstöße,"Ostring, 76137 Karlsruhe",Eingetroffen,2014-05-19T16:53:00+02:00,2014-05-19T16:53:00+02:00,MOBILE
wywbwg,Ampeln für Fußgänger oder Radfahrer,"Südl. Uferstraße 9, 76189 Karlsruhe",Abgeschlossen,2014-05-19T16:51:00+02:00,2014-05-19T16:51:00+02:00,MOBILE
yhyhai,KA-Feedback Nutzerumfrage,"Waldstraße 79, 76133 Karlsruhe",Eingetroffen,2014-05-19T16:26:00+02:00,2014-05-19T16:26:00+02:00,MOBILE
1r4jbn,Ampeln für Fußgänger oder Radfahrer,"Waldstraße 2, 76133 Karlsruhe",Abgeschlossen,2014-05-19T16:17:00+02:00,2014-05-19T16:17:00+02:00,MOBILE
cbmann,Verunreinigungen,"Erlenweg, 76199 Karlsruhe",Eingetroffen,2014-05-19T11:38:00+02:00,2014-05-19T11:38:00+02:00,MOBILE
nei6gj,Verkehrsverstöße,"Goethestraße 19, 76135 Karlsruhe",Eingetroffen,2014-05-19T10:20:00+02:00,2014-05-19T10:20:00+02:00,MOBILE
1m1olq,Verkehrsverstöße,"Degenfeldstraße 7, 76131 Karlsruhe",Behoben,2014-05-19T08:43:00+02:00,2014-08-01T11:23:00+02:00,MOBILE
dqdlsc,Beschilderung,"Degenfeldstraße 7, 76131 Karlsruhe",Behoben,2014-05-19T08:38:00+02:00,2014-08-01T10:42:00+02:00,MOBILE
ug9u4o,Verunreinigungen,"Joachim-Kurzaj-Weg, 76189 Karlsruhe",Behoben,2014-05-19T08:31:00+02:00,2014-12-22T10:51:00+01:00,MOBILE
h6ydtg,Gefahrenstellen,"Auer Straße 72, 76227 Karlsruhe",Behoben,2014-05-19T08:13:00+02:00,2014-08-08T10:59:00+02:00,MOBILE
ydwrpm,Verunreinigungen,"Offenburger Straße 39, 76199 Karlsruhe",Eingetroffen,2014-05-19T07:23:00+02:00,2014-05-19T07:23:00+02:00,MOBILE
huylka,KA-Feedback Nutzerumfrage,"Lammstraße 23, 76133 Karlsruhe",Eingetroffen,2014-05-18T23:44:00+02:00,2014-05-18T23:44:00+02:00,MOBILE
ibhmfg,Gefahrenstellen,"Rahel-Straus-Straße, 76137 Karlsruhe",Eingetroffen,2014-05-18T23:37:00+02:00,2014-05-18T23:37:00+02:00,MOBILE
xmcz5c,Verkehrsverstöße,"Rahel-Straus-Straße, 76137 Karlsruhe",Behoben,2014-05-18T23:34:00+02:00,2014-08-01T11:21:00+02:00,MOBILE
olsqbp,Beschilderung,"Weiherfeldstraße, Karlsruhe",Eingetroffen,2014-05-18T22:32:00+02:00,2014-05-18T22:32:00+02:00,MOBILE
uehlxm,Verunreinigungen,"Schirmerstraße 2, 76133 Karlsruhe",Eingetroffen,2014-05-18T15:31:00+02:00,2014-05-18T15:31:00+02:00,MOBILE
2yd3dd,Verunreinigungen,"Kelterstraße 28, 76227 Karlsruhe",Behoben,2014-05-18T12:45:00+02:00,2014-12-22T10:52:00+01:00,MOBILE
6pgv2f,Verunreinigungen,"Hermann-Veit-Straße 3, 76135 Karlsruhe",Behoben,2014-05-18T12:08:00+02:00,2014-12-22T10:53:00+01:00,MOBILE
6rdxql,Verunreinigungen,"Karl-Wolf-Weg, 76135 Karlsruhe",Behoben,2014-05-18T10:15:00+02:00,2014-12-22T10:53:00+01:00,MOBILE
0mxvt1,Beschilderung,"Grötzinger Straße 15, 76227 Karlsruhe",Behoben,2014-05-17T18:35:00+02:00,2014-05-17T18:35:00+02:00,MOBILE
vqyzn2,Straßenbeleuchtung,"Karl-Hoffmann-Straße 6, 76137 Karlsruhe",Behoben,2014-05-17T15:41:00+02:00,2014-05-17T15:41:00+02:00,MOBILE
tfkeeq,Verunreinigungen,"Kaiserstraße 138-140, 76133 Karlsruhe",Behoben,2014-05-17T13:25:00+02:00,2014-05-17T13:25:00+02:00,MOBILE
enjgj5,Verunreinigungen,"Kaiserstraße 138-140, 76133 Karlsruhe",Behoben,2014-05-17T13:25:00+02:00,2014-05-17T13:25:00+02:00,MOBILE
evm8sq,Verunreinigungen,"Kastellstraße 28-30, 76227 Karlsruhe",Eingetroffen,2014-05-16T21:10:00+02:00,2014-05-16T21:10:00+02:00,MOBILE
9geet7,KA-Feedback Nutzerumfrage,"Sophienstraße 114B, 76135 Karlsruhe",Eingetroffen,2014-05-16T20:05:00+02:00,2014-05-16T20:05:00+02:00,MOBILE
khfon7,Ampeln für Fußgänger oder Radfahrer,"Ettlinger Allee, 76199 Karlsruhe",Behoben,2014-05-16T19:59:00+02:00,2014-05-16T19:59:00+02:00,MOBILE
gflyad,Verunreinigungen,"Veilchenstraße 31A, 76131 Karlsruhe",Abgeschlossen,2014-05-16T18:55:00+02:00,2014-05-16T18:55:00+02:00,MOBILE
zrvtns,Ampel für Kraftfahrzeuge,"Reinhold-Frank-Straße 48, 76133 Karlsruhe",Abgeschlossen,2014-05-16T09:39:00+02:00,2014-05-16T09:39:00+02:00,MOBILE
yhqm5s,Gefahrenstellen,"Adenauerring 17, 76131 Karlsruhe",Eingetroffen,2014-05-16T09:24:00+02:00,2014-05-16T09:24:00+02:00,MOBILE
01vymd,Gefahrenstellen,"Adenauerring 17, 76131 Karlsruhe",Eingetroffen,2014-05-16T09:23:00+02:00,2014-05-16T09:23:00+02:00,MOBILE
r7kcda,Straßenbeleuchtung,"Schirmerstraße 2, 76133 Karlsruhe",Behoben,2014-05-16T08:18:00+02:00,2014-05-16T08:18:00+02:00,MOBILE
uqfi1s,Straßenbeleuchtung,"Bismarckstraße 10, 76133 Karlsruhe",Behoben,2014-05-15T22:35:00+02:00,2014-05-15T22:35:00+02:00,MOBILE
oqypyb,Straßenbeleuchtung,"Moltkestraße 15A, 76133 Karlsruhe",Behoben,2014-05-15T21:50:00+02:00,2014-05-15T21:50:00+02:00,MOBILE
5f8p7a,Straßenbeleuchtung,"Bismarckstraße 8, 76133 Karlsruhe",Abgeschlossen,2014-05-15T21:47:00+02:00,2017-01-11T13:31:00+01:00,MOBILE
whfpfu,Verkehrsverstöße,"Kaiserallee 11A, 76133 Karlsruhe",Eingetroffen,2014-05-15T17:17:00+02:00,2014-05-15T17:17:00+02:00,MOBILE
s0eqoh,Beschilderung,"Karpatenstraße 4, 76227 Karlsruhe",Behoben,2014-05-15T15:39:00+02:00,2014-05-15T15:39:00+02:00,MOBILE
lsfofc,Verkehrsverstöße,"Wiesbadener Straße 13, 76185 Karlsruhe",Behoben,2014-05-15T15:35:00+02:00,2014-08-01T11:25:00+02:00,MOBILE
8vupbm,Gefahrenstellen,"Wiesbadener Straße 21, 76185 Karlsruhe",Eingetroffen,2014-05-15T15:34:00+02:00,2014-05-15T15:34:00+02:00,MOBILE
wkgxnn,Verkehrsverstöße,"Flughafenstraße 37, 76149 Karlsruhe",Behoben,2014-05-15T14:48:00+02:00,2014-08-04T13:40:00+02:00,MOBILE
gh54qh,Verunreinigungen,"Bahnhofplatz 6, 76137 Karlsruhe",Abgeschlossen,2014-05-15T10:12:00+02:00,2014-05-15T10:12:00+02:00,MOBILE
teed46,Ampeln für Fußgänger oder Radfahrer,"Otto-Wels-Straße, 76189 Karlsruhe",Behoben,2014-05-15T08:00:00+02:00,2014-05-19T06:59:00+02:00,MOBILE
flddmk,KA-Feedback Nutzerumfrage,"Sophienstraße 150, 76135 Karlsruhe",Eingetroffen,2014-05-14T23:05:00+02:00,2014-05-14T23:05:00+02:00,MOBILE
ayslpc,Straßenbeleuchtung,"Sebastian-Kneipp-Straße 1, 76131 Karlsruhe",Abgeschlossen,2014-05-14T22:30:00+02:00,2017-01-11T13:31:00+01:00,MOBILE
ju7t72,Gefahrenstellen,"Winterstraße 35, 76137 Karlsruhe",Behoben,2014-05-14T18:30:00+02:00,2014-05-14T18:30:00+02:00,MOBILE
4xuuhq,Ampel für Kraftfahrzeuge,"Willy-Brandt-Allee, 76131 Karlsruhe",Behoben,2014-05-14T17:25:00+02:00,2015-10-09T16:03:00+02:00,MOBILE
jpodk9,Verkehrsverstöße,"Luisenstraße 105, 76137 Karlsruhe",Eingetroffen,2014-05-14T15:05:00+02:00,2014-05-14T15:05:00+02:00,MOBILE
gizuhg,Beschilderung,"Reinhold-Frank-Straße 48, 76133 Karlsruhe",Behoben,2014-05-14T14:10:00+02:00,2014-08-01T11:27:00+02:00,MOBILE
mgiuol,Verunreinigungen,"Machstraße 12, 76227 Karlsruhe",Eingetroffen,2014-05-14T14:10:00+02:00,2014-05-14T14:10:00+02:00,MOBILE
te3syv,Ampeln für Fußgänger oder Radfahrer,"Tullastraße 86, 76131 Karlsruhe",Behoben,2014-05-14T11:23:00+02:00,2014-05-14T11:23:00+02:00,MOBILE
g67arr,Verkehrsverstöße,"Bergbahnstraße 14, 76227 Karlsruhe",In Arbeit,2014-05-14T10:59:00+02:00,2014-05-14T10:59:00+02:00,MOBILE
akaiaf,Verkehrsverstöße,"Am Steinbruch 16-18, 76227 Karlsruhe",In Arbeit,2014-05-14T10:57:00+02:00,2014-05-14T10:57:00+02:00,MOBILE
gipdut,Verunreinigungen,"Linkenheimer Landstraße, 76149 Karlsruhe",Eingetroffen,2014-05-14T10:38:00+02:00,2014-05-14T10:38:00+02:00,MOBILE
9dsvye,Verkehrsverstöße,"Daxlander Straße 147, 76185 Karlsruhe",Behoben,2014-05-14T00:40:00+02:00,2014-05-14T00:40:00+02:00,MOBILE
kbgfjr,Verunreinigungen,"Karl-Wolf-Weg, 76135 Karlsruhe",Behoben,2014-05-14T00:37:00+02:00,2014-12-22T10:54:00+01:00,MOBILE
xfgaan,Verunreinigungen,"Gärtnerstraße 36, 76227 Karlsruhe",Behoben,2014-05-13T08:45:00+02:00,2014-05-13T08:45:00+02:00,MOBILE
xeknyp,Gefahrenstellen,"Badenwerkstr. - Am Festplatz 4, 76137 Karlsruhe",Eingetroffen,2014-05-13T01:09:00+02:00,2014-05-13T01:09:00+02:00,MOBILE
3abddk,Verkehrsverstöße,"Anna-Lauter-Straße 11, 76137 Karlsruhe",Behoben,2014-05-12T22:01:00+02:00,2014-05-12T22:01:00+02:00,MOBILE
uosdf4,Verkehrsverstöße,"Hirschstraße 135, 76137 Karlsruhe",Behoben,2014-05-12T21:21:00+02:00,2014-05-12T21:21:00+02:00,MOBILE
od1ki7,Beschilderung,"Pulverhausstraße, 76135 Karlsruhe",Behoben,2014-05-12T08:59:00+02:00,2014-05-12T08:59:00+02:00,MOBILE
5a3x5m,Verkehrsverstöße,"Baumeisterstraße 8, 76137 Karlsruhe",Behoben,2014-05-12T07:05:00+02:00,2014-05-12T07:05:00+02:00,MOBILE
jji2f7,Verunreinigungen,"Bernhardstraße 8, 76131 Karlsruhe",Abgeschlossen,2014-05-11T19:07:00+02:00,2014-05-11T19:07:00+02:00,MOBILE
jsnqrm,Ampeln für Fußgänger oder Radfahrer,"Otto-Wels-Straße, 76189 Karlsruhe",Behoben,2014-05-11T15:09:00+02:00,2014-05-11T15:09:00+02:00,MOBILE
